epoch,accuracy,loss,val_accuracy,val_loss
0,0.20577466487884521,2.6206650733947754,0.3455636203289032,1.7620553970336914
1,0.26156851649284363,2.2035419940948486,0.3921596109867096,1.6289557218551636
2,0.3042508065700531,1.9957373142242432,0.4015066921710968,1.5678656101226807
3,0.3316943943500519,1.858060359954834,0.4231305718421936,1.5090577602386475
4,0.3586846590042114,1.7449647188186646,0.4486607015132904,1.4518654346466064
5,0.3861979842185974,1.6444061994552612,0.4743303656578064,1.3687208890914917
6,0.41008472442626953,1.5659260749816895,0.4888392984867096,1.3433542251586914
7,0.4345642924308777,1.4994710683822632,0.5143694281578064,1.2844949960708618
8,0.45534747838974,1.4331889152526855,0.5234375,1.2478220462799072
9,0.471981018781662,1.3853459358215332,0.5352957844734192,1.2108891010284424
10,0.48920738697052,1.340294599533081,0.5408760905265808,1.2129851579666138
11,0.5019353628158569,1.314773678779602,0.5531529188156128,1.1810904741287231
12,0.5148028135299683,1.2803534269332886,0.5481305718421936,1.1889190673828125
13,0.5243574976921082,1.2595648765563965,0.5739397406578064,1.1290801763534546
14,0.5304948091506958,1.2361416816711426,0.5771484375,1.125110387802124
15,0.5413746237754822,1.2200790643692017,0.5830078125,1.097922444343567
16,0.5520800352096558,1.1975798606872559,0.5849609375,1.107300877571106
17,0.55556720495224,1.1794897317886353,0.5791015625,1.127139925956726
18,0.5628901124000549,1.1650714874267578,0.5910993218421936,1.0772902965545654
19,0.5682602524757385,1.1511399745941162,0.583984375,1.110186219215393
20,0.5740140080451965,1.1350607872009277,0.595703125,1.0785447359085083
21,0.578093945980072,1.1269408464431763,0.5873326063156128,1.1044527292251587
22,0.5824179649353027,1.1148384809494019,0.6061663031578064,1.0550209283828735
23,0.5864979028701782,1.107529878616333,0.6043526530265808,1.050481915473938
24,0.5947972536087036,1.0896592140197754,0.6079798936843872,1.048471212387085
25,0.5955643653869629,1.0767436027526855,0.6015625,1.062624216079712
26,0.6014924645423889,1.0714713335037231,0.623046875,1.0155003070831299
27,0.6024688482284546,1.067730188369751,0.6049107313156128,1.0469869375228882
28,0.6080831289291382,1.0532902479171753,0.62109375,1.026871681213379
29,0.6086410880088806,1.0450427532196045,0.6150948405265808,1.0300686359405518
30,0.6140809655189514,1.032119631767273,0.6273716688156128,1.0209708213806152
31,0.6150224804878235,1.0246330499649048,0.6233258843421936,1.0041056871414185
32,0.6193464994430542,1.018373966217041,0.6272321343421936,0.9960259199142456
33,0.6188234686851501,1.0070898532867432,0.6150948405265808,1.0398591756820679
34,0.624612033367157,1.0052675008773804,0.6294642686843872,1.0079916715621948
35,0.6259371638298035,0.9987713098526001,0.6248604655265808,1.0085958242416382
36,0.6336088180541992,0.9872078895568848,0.63671875,0.9803957939147949
37,0.6379677057266235,0.9732204675674438,0.6372767686843872,0.9887536764144897
38,0.6407225131988525,0.9643438458442688,0.6365792155265808,0.9870251417160034
39,0.6389092206954956,0.963037371635437,0.6360211968421936,0.9942947626113892
40,0.6471737027168274,0.9536557197570801,0.6432756781578064,0.9729977250099182
41,0.6465808749198914,0.949475884437561,0.6371372938156128,0.9746184945106506
42,0.6476269960403442,0.945104718208313,0.6378348469734192,0.9859390258789062
43,0.6511839032173157,0.9333168268203735,0.6307198405265808,1.0005161762237549
44,0.65554279088974,0.9291715025901794,0.6429966688156128,0.9659008979797363
45,0.658123254776001,0.9226176738739014,0.6409040093421936,0.9715196490287781
46,0.6592042446136475,0.9148873090744019,0.6402064561843872,0.9908617734909058
47,0.6589601635932922,0.9163603186607361,0.623046875,1.0235555171966553
48,0.6641559600830078,0.9032474160194397,0.6436942219734192,0.9775057435035706
49,0.6688635349273682,0.8949801921844482,0.6399274468421936,0.9882456064224243
50,0.669386625289917,0.8937250375747681,0.6427176594734192,0.9803681373596191
51,0.6716532707214355,0.8861497640609741,0.6484375,0.9681214690208435
52,0.6701189279556274,0.882142186164856,0.6453682780265808,0.9665831923484802
53,0.6755936741828918,0.8723884224891663,0.6460658311843872,0.9690732955932617
54,0.6789064407348633,0.8731973767280579,0.6467633843421936,0.9774401783943176
55,0.6787320971488953,0.8630350232124329,0.6484375,0.9691029191017151
56,0.6799525618553162,0.8599336743354797,0.6531807780265808,0.9684008955955505
57,0.6862642765045166,0.8477224111557007,0.6467633843421936,0.9748622179031372
58,0.6841719746589661,0.8445882201194763,0.6453682780265808,0.9895344972610474
59,0.6870663166046143,0.848322868347168,0.6554129719734192,0.9589509963989258
